status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
transfer to 249F;0x93344678f93fe4338a215bae9c0cc0bd42889716; 6 031 310,62 ;; 6 031 310,62 ;ok;;0x5eeff863acaab2b8cf604968cab6b62330ff0d06; 510 623,00   ;0x5eeff863acaab2b8cf604968cab6b62330ff0d06
transfer to 249F;0x3717589ecda13dcbc872880153eaa8b065087a87; 5 927 040,69 ;; 5 927 040,69 ;ok;;;;
transfer to 249F;0x6603bc2e829b7a6c5ce251f664c14901de4c570d; 5 871 232,70 ;; 5 871 232,70 ;ok;;;;
transfer to 249F;0x719835d6bd68fe2ca75be83b1bbeff15bcc0755a; 5 676 000,00 ;-5 676 000,00 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0x5ee2a9df153823738b994e35036994173c86f27a; 5 522 040,40 ;; 5 522 040,40 ;ok;;;;
token not transferred;0xf60d266cd4d17217f7b9c010ee63660f445b9dfc; 5 480 192,62 ;; 5 480 192,62 ;ok;;;;
token not transferred;0x28e746a6e3f00fdb0ce7bde6f368fcf1761dfa55; 5 081 241,37 ;; 5 081 241,37 ;ok;;;;
token not transferred;0x20ca4a57f1b4795b4c603db63cec2705d0e808fa; 4 898 589,24 ;; 4 898 589,24 ;ok;;;;
transfer to 249F;0xd2994d5c66e6a4109940e0909747222801ef50a0; 4 891 371,77 ;; 4 891 371,77 ;ok;;;;
token not transferred;0xff139ab4b0a370f8c212d927decc2c0b547dd79f; 4 812 221,73 ;-4 761 907,00 ; 50 314,73 ;post LP drain after /10 of the price;;;;
token not transferred;0x64c07c9f2c17b8d5fb6f79453e70ddf66e92b920; 4 768 671,04 ;-4 768 671,04 ; -   ;post LP drain after /10 of the price;;;;
token not transferred;0xd239ba95634cba8fdafd7bf93c16d20819677df7; 4 712 177,79 ;; 4 712 177,79 ;ok;;;;
transfer to 249F;0xa6b775ea1492644cc35dc14d6de7ef7908e63496; 4 589 435,18 ;; 4 589 435,18 ;ok;;;;
transfer to 249F;0xe13321ddae324ad2c8dc93905c47e737d1841251; 4 381 700,00 ;; 4 381 700,00 ;ok;;;;
transfer to 249F;0x226b2f4444d3d258bb87575814f8ef693797b408; 4 319 503,30 ; 80,00 ; 4 319 583,30 ;ok;;;;
staking pool;0xaea2fd3d7d39c36d1902d4fef93be49d0d88557d; 4 318 073,23 ;; 4 318 073,23 ;staking pool can't know how many tokens and wallets;;;;
transfer to 249F;0xb4c5993f26af9a18b612cc47415bcbc5bc34116f; 4 303 902,97 ;; 4 303 902,97 ;ok;;;;
token not transferred;0x87a36bd692185f0cbfa50acc663d7d093a78b842; 4 300 000,00 ;; 4 300 000,00 ;ok;;;;
transfer to 249F;0x7a32d83e64683c47a0b6f6d7f11e26d35e85efdf; 4 075 229,09 ;-4 075 229,09 ; -   ;post LP drain after /10 of the price 30$ spent;;;;
transfer to 249F;0x097175699c806251f430fbe5d1c087e7afba513a; 3 981 800,00 ;; 3 981 800,00 ;ok;;;;
