status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
token not transferred;0x4f76e0f03beea20b0ee99db346b75a5cd31ccce6; 812 607,12 ;; 812 607,12 ;;;;;
token not transferred;0x322bef8c97180c7ba8782220d783138d502198ea; 809 634,73 ;; 809 634,73 ;;;;;
transfer to 249F;0x9301baabee5d9f3d559433782fbd386abea71cc2; 795 870,86 ;; 795 870,86 ;;;;;
token not transferred;0x6807d5622d15cf8b26b897dd271104c51b1e9f76; 789 819,87 ;; 789 819,87 ;;;;;
transfer to 249F;0xc8c43a7a760c65596c11178439c7d94b415fa16b; 786 106,05 ;; 786 106,05 ;;;;;
token not transferred;0xe6871f766b4e9a5d7a1d96cb490a8fb543bcb450; 784 241,91 ;; 784 241,91 ;;;;;
transfer to 249F;0x143627190af44132fdfee02c7650982a54a40526; 781 860,40 ;; 781 860,40 ;;;;;
token not transferred;0x67c69fade6d8a6e880ea8810824e1e2a2da3ab52; 772 606,48 ;; 772 606,48 ;;;;;
transfer to 249F;0x7cab8ca08e0ef23318d8a128f796727e8d40c831; 771 719,97 ;; 771 719,97 ;;;;;
token not transferred;0x87b7a130a7f76ae43c7b0775508245933e334944; 762 326,36 ;; 762 326,36 ;;;;;
token not transferred;0x5606a0c291567eb7420cdd3cdf28e82f242e0e85; 762 303,14 ;; 762 303,14 ;;;;;
token not transferred;0x425ebcd9b3f2cf8b428fd6740e97e7faec4d8071; 754 135,50 ;; 754 135,50 ;;;;;
token not transferred;0x6c10738e9cbecf286c221a0a2766d91043553851; 731 928,80 ;; 731 928,80 ;;;;;
token not transferred;0x1fc08eed19d8996e625d9dae1bfc0f3fe97c3df9; 727 753,50 ;; 727 753,50 ;;;;;
transfer to 249F;0x90a5aa555ce7f5b5a32b8bd146d1b190eeee1add; 721 223,52 ;; 721 223,52 ;;;;;
token not transferred;0x6f0a11ef0ee3bf02da77775da834b5ecf750ffcd; 719 562,45 ;; 719 562,45 ;;;;;
token not transferred;0x382d561b177450c6c8d70bf467823bb64e64ceb5; 706 424,64 ;; 706 424,64 ;;;;;
transfer to 249F;0x3e74303363e76ef7d0ea1e589767eccf1f29fa74; 705 124,32 ;; 705 124,32 ;;;;;
token not transferred;0x0aea655d9e4710c353d73785a0f45696b5c0e5ce; 703 828,30 ;; 703 828,30 ;;;;;
transfer to 249F;0xb444a4243472a5708ca511954f4aa8a6fcfb549d; 698 396,85 ;; 698 396,85 ;;;;;
transfer to 249F;0x45c275eca7761906a7f0c120b5b514539da21c8c; 688 000,86 ;; 688 000,86 ;;;;;
token not transferred;0xf0a128babcf162616554c812e2c61fa924a54cb5; 687 387,68 ;; 687 387,68 ;;;;;
token not transferred;0xae5fa32c675528538f609c509981e08e977b6231; 682 508,90 ;; 682 508,90 ;;;;;
token not transferred;0xf5fda78fc80310f20df9003f6a4716af1270cd8d; 677 656,78 ;; 677 656,78 ;;;;;
token not transferred;0xd13447e654f6a76049974634aa88988d2d37ec32; 658 435,15 ;; 658 435,15 ;;;;;
transfer to 249F;0x5037d2132f8bfbb29b53993535b344d9f6a804ef; 656 761,36 ;; 656 761,36 ;;;;;
token not transferred;0x55bad0b6d8b17617173bdb5a7dac787d8cd984e6; 655 537,60 ;; 655 537,60 ;;;;;
token not transferred;0x28cceac77b7af6ca95539466b137b8518b2e732c; 649 097,90 ;; 649 097,90 ;;;;;
token not transferred;0xdc7d2e221c19b83e3156929ff324af366ae375c6; 647 487,08 ;; 647 487,08 ;;;;;
token not transferred;0x7e01c1108fb079f8a41610a91212213fb3e4607c; 644 111,69 ;; 644 111,69 ;;;;;
transfer to 249F;0x7a32d83e64683c47a0b6f6d7f11e26d35e85efdf; 641 542,65 ;; 641 542,65 ;;;;;
transfer to 249F;0x333944ffb01c775d0dd4e6cea082dfcaa863ea40; 641 046,90 ;; 641 046,90 ;;;;;
transfer to 249F;0x8ffb1ef9c66bc101615f90c5b30c5d4cc28eff9c; 639 786,86 ;; 639 786,86 ;;;;;
token not transferred;0x82ae333fb9b992d19ec2799e58436eb455d806b2; 639 587,16 ;; 639 587,16 ;;;;;
token not transferred;0x681e6ad0d14fbe240b0b7b1be1048b3168bdb015; 639 334,46 ;; 639 334,46 ;;;;;
token not transferred;0xc0ae1ced80816c52f245426a083dcb393dfc7933; 637 200,66 ;; 637 200,66 ;;;;;
transfer to 249F;0xe17317f6713d0b8d5d291eeced4a19fba28c8fe6; 637 152,20 ;; 637 152,20 ;;;;;
transfer to 249F;0x65358db5db5f57f860066708b08c1f89504e736f; 628 101,00 ;; 628 101,00 ;;;;;
token not transferred;0x6670ac1b067082183a04b77b876c53137e0fd33a; 621 204,83 ;; 621 204,83 ;;;;;
token not transferred;0x43eed1ee86c564d12b12c6c7315c0eb463aa1503; 616 872,65 ;; 616 872,65 ;;;;;
transfer to 249F;0x2f8130272b3a7d8c49f5362f34a9a3c77c013c98; 614 724,86 ;; 614 724,86 ;;;;;
token not transferred;0x2f5221c46d1810809844c3e82d9c3d888e4d3394; 612 774,76 ;; 612 774,76 ;;;;;
transfer to 249F;0x01e3172efbf1c0ad0051268a59bf37c8e781cde3; 609 657,44 ;; 609 657,44 ;;;;;
transfer to 249F;0x5876f5a6519631de3da28231fdbe6c7b12b78e6b; 608 301,22 ;; 608 301,22 ;;;;;
token not transferred;0xabd0a0151446562d118467f12a4afa6969d9250e; 605 919,67 ;; 605 919,67 ;;;;;
token not transferred;0x765d452118aba2fed6b6977a11fd5742f335e2ba; 599 580,82 ;; 599 580,82 ;;;;;
token not transferred;0x2758e26a080c2d25af29f61c304a05caaeda9d89; 597 660,48 ;; 597 660,48 ;;;;;
token not transferred;0xb67cd29006ee9ae4e3199e2986cd98961a3a60a9; 596 121,45 ;; 596 121,45 ;;;;;
transfer to 249F;0x8d73b2f5f5b273a01f4b601f81f7c075df03dcfc; 593 340,75 ;; 593 340,75 ;;;;;
transfer to 249F;0x0030fedc605bc6678daf4cb87b29cde60f8be61b; 591 778,90 ;; 591 778,90 ;;;;;
transfer to 249F;0x947c4394855360986779c69cf6a2f424df4a1227; 589 451,54 ;; 589 451,54 ;;;;;
token not transferred;0x55238998900d856b99915373ea8205dafec3ba7b; 588 680,41 ;; 588 680,41 ;;;;;
token not transferred;0x5db4734fef993f5c9a45008830a26c2fc3ddb14a; 579 593,56 ;; 579 593,56 ;;;;;
transfer to 249F;0x2b91ca384e5124c8e6ae9aca06e932b0530818eb; 579 000,00 ;; 579 000,00 ;;;;;
token not transferred;0x712ad985d1e81e2f11a413d43bd485ce22d548bf; 575 863,67 ;; 575 863,67 ;;;;;
transfer to 249F;0xe7d3e4920fbad487d8cf280c52a69c0c0b5b8bf6; 575 547,26 ;; 575 547,26 ;;;;;
transfer to 249F;0xbf9e568c105afca0e2ce9e6fb77c4db27b84ec43; 570 326,03 ;; 570 326,03 ;;;;;
transfer to 249F;0x7ee23f439b9161b8553c89de1479323bc6f4e02f; 568 496,98 ;; 568 496,98 ;;;;;
token not transferred;0x21e72248310eee88829da2ceed8680e71e08d3dd; 555 025,94 ;; 555 025,94 ;;;;;
token not transferred;0x4b4f0e1e69f65b5056ddf1724f7b01fbc27d0c3e; 553 808,71 ;; 553 808,71 ;;;;;
transfer to 249F;0x3234fccb9334ae63faee346f9bbe982b41365b63; 552 628,02 ;; 552 628,02 ;;;;;
transfer to 249F;0x4f97221d1cfd20d3370f3452544837cb2fe87ec3; 549 478,09 ;; 549 478,09 ;;;;;
token not transferred;0x3703223848113a84dd406a6ecd4149062975cdf9; 549 292,41 ;; 549 292,41 ;;;;;
transfer to 249F;0xa72f38900ef65eddeb2ed6d57fc0203a29439351; 547 762,38 ;; 547 762,38 ;;;;;
token not transferred;0x8367b17275df9659aa9b9e84215d1b2e3f9225ad; 547 594,32 ;; 547 594,32 ;;;;;
token not transferred;0x3193c76a3028cd85386c1138fba999c9d197a83d; 546 960,00 ;; 546 960,00 ;;;;;
transfer to 249F;0xb11ab5b26b793a61092a2a16e8856ed42674dc84; 546 590,29 ;; 546 590,29 ;;;;;
token not transferred;0x87468492d61f168bba19b4e1d2f568f89e7b5a4d; 542 264,40 ;; 542 264,40 ;;;;;
token not transferred;0xb0dea01470938812decdda37deb3589f12974b97; 538 686,14 ;; 538 686,14 ;;;;;
token not transferred;0x4715fca9c77389f1ebdfed15f015f3f097a347a7; 536 910,22 ;; 536 910,22 ;;;;;
transfer to 249F;0xca69b35c3746adebe65c0f5ee1a6ea52f148e849; 534 623,84 ;; 534 623,84 ;;;;;
token not transferred;0xab0c927deb5e7a3c5d22865df9344f6bed339c19; 534 242,32 ;; 534 242,32 ;;;;;
token not transferred;0x6a9e27d82f2605b9c3421447ca9d5ddc7c98306c; 533 006,50 ;; 533 006,50 ;;;;;
token not transferred;0x9bb489ac29fe3807eb377410b787ed47a716dc54; 525 923,22 ;; 525 923,22 ;;;;;
token not transferred;0x92af2c6f21d545a45776e19db1f73ddf9516337e; 521 921,82 ;; 521 921,82 ;;;;;
token not transferred;0xab6c6ab839f4f8c3b7c1db1abb314595133bf676; 521 394,34 ;; 521 394,34 ;;;;;
transfer to 249F;0x319a56aeef1a8ad6321903277666bc3cd7d321b4; 521 247,78 ;; 521 247,78 ;;;;;
transfer to 249F;0xf56a69151d5a6280cb97d400078b6c2d25c8d97b; 521 246,51 ;; 521 246,51 ;;;;;
token not transferred;0xc272b156c708d727fb7493d271a7948c2d09156d; 520 002,05 ;; 520 002,05 ;;;;;
transfer to 249F;0xc528b36b9c7db0df961de167b84333c6ceff2a86; 519 472,36 ;; 519 472,36 ;;;;;
transfer to 249F;0x0b95166897a9f5d14edcde501cbd911a7794c4db; 516 791,13 ;; 516 791,13 ;;;;;
token not transferred;0x25898f85cba81e0b750d56e5a16d794d3693b12d; 516 215,95 ;; 516 215,95 ;;;;;
transfer to 249F;0xd80d75d194669292c245c0e2e99a03d1e14e584c; 516 172,00 ;; 516 172,00 ;;;;;
transfer to 249F;0x64a6e92c9936d031a4f73e7e651ad573df393408; 516 086,00 ;; 516 086,00 ;;;;;
transfer to 249F;0x565d6c256907cc4595b70057bcb858ec71503183; 516 000,00 ;; 516 000,00 ;;;;;
transfer to 249F;0x1cea1d45510bd04184712a7ffc890fa104bcdccb; 516 000,00 ;; 516 000,00 ;;;;;
token not transferred;0x7ce49994beb579f6e730e0e4f68ea7de6b85ae3f; 515 489,16 ;; 515 489,16 ;;;;;
transfer to 249F;0xf39754c35f6998681afc7dcec584482a92eb7ed1; 514 716,88 ;; 514 716,88 ;;;;;
token not transferred;0x96f566eabac43d43440d2f0ce487e5a02be46eff; 513 535,99 ;; 513 535,99 ;;;;;
token not transferred;0xe55a831b574dd4ca74588130650e5d940f3dcb07; 512 003,66 ;; 512 003,66 ;;;;;
token not transferred;0xbde4dbdb78f2a076b5664b77dc30300998fa642e; 511 908,12 ;; 511 908,12 ;;;;;
transfer to 249F;0x5aa8892a6d36f55a6865d1b6e8d217fe328d5189; 510 287,88 ;; 510 287,88 ;;;;;
transfer to 249F;0x20d60c01f32dc059ca5c36da425b44be35db36ac; 509 994,48 ;; 509 994,48 ;;;;;
token not transferred;0x47f3e3e2cf66e843fc3586f1dbc47d7724befca2; 509 084,83 ;; 509 084,83 ;;;;;
token not transferred;0xd3daebb107ac658828eb8f281e872a752e529e2f; 508 606,08 ;; 508 606,08 ;;;;;
transfer to 249F;0x4489337d1fc077ec7eafbed01ee511e391800105; 506 450,56 ;; 506 450,56 ;;;;;
transfer to 249F;0xe41b08a98be6ce93b2a36f7a41d853b9e32d0ad1; 505 305,00 ;; 505 305,00 ;;;;;
transfer to 249F;0x0e7b92f0feb1f39c958b6baebb2251d3175ddeac; 505 109,35 ;; 505 109,35 ;;;;;
token not transferred;0xe26eb5442b47e399573d59c0f3ba1136c2a09380; 500 000,00 ;; 500 000,00 ;;;;;
transfer to 249F;0xfa60ab7e1bfeba700c3e9b88864588ccda4ce9e0; 500 000,00 ;; 500 000,00 ;;;;;
token not transferred;0x4c2f76e3a1b6497b7d6b973aa4dabf6d6d6aa144; 497 366,60 ;; 497 366,60 ;;;;;
transfer to 249F;0x467b3665f188a192002281aae9bf8a9b9e499ef0; 492 817,38 ;; 492 817,38 ;;;;;
token not transferred;0x18028fa326ce944205dc487ef15c64d3356ffd66; 492 129,83 ;; 492 129,83 ;;;;;
token not transferred;0xc04fa86009572a5931adb14b0f7d1589ee648224; 491 329,14 ;; 491 329,14 ;;;;;
transfer to 249F;0xd113ee65547630044e6aa5d4f58675a535c17c88; 490 433,25 ;; 490 433,25 ;;;;;
transfer to 249F;0x415dc54631c509bb59f86264ff162cefb272ae78; 487 255,06 ;; 487 255,06 ;;;;;
transfer to 249F;0xdcd417b24fa704e525efd1f9106389a4404d3a94; 486 379,63 ;; 486 379,63 ;;;;;
token not transferred;0xa41b67be42fe3eef3de05176d2187975f0748af2; 479 395,83 ;; 479 395,83 ;;;;;
transfer to 249F;0x90dd8a9be9d5cb256c19e893c0024f4adba9592d; 478 792,96 ;; 478 792,96 ;;;;;
token not transferred;0x27d462e721e5adcb3f584d4d91d67e57eeefd5fc; 474 572,20 ;; 474 572,20 ;;;;;
transfer to 249F;0xa4d53dddfc93a46fa4240d6203d798eec030d898; 474 072,79 ;; 474 072,79 ;;;;;
token not transferred;0x611b8f90f18cd3ddd295ed26398cfe7768bfadb5; 472 422,94 ;; 472 422,94 ;;;;;
token not transferred;0x7f45d5329c435665a022ce2e54cb4135dd076756; 464 991,19 ;; 464 991,19 ;;;;;
transfer to 249F;0x5bfd70e5b6211a4880e63ab9c22f2fef270a15f5; 461 843,64 ;; 461 843,64 ;;;;;
token not transferred;0x30977c221ea3e5237e5ef5e2c8773e8d43023ea3; 459 609,63 ;; 459 609,63 ;;;;;
token not transferred;0xff191e9cad4888f2aa843f278c8100434ff0407e; 456 812,22 ;; 456 812,22 ;;;;;
token not transferred;0x49ec71d30e0fac6ddb7176ec24682fca7e4a3fe3; 452 832,05 ;; 452 832,05 ;;;;;
transfer to 249F;0x705b8b0991c32a10b1dc899c35c47c8343012c39; 450 333,24 ;; 450 333,24 ;;;;;
token not transferred;0x9dc47d783d38cfe9efa6323f316c60e3fab455de; 449 720,66 ;; 449 720,66 ;;;;;
token not transferred;0x1c5952d5cae4be1d066a00785751f6852ca42ec6; 440 349,24 ;; 440 349,24 ;;;;;
token not transferred;0xfa0d3770ab9f015e2cfb807703d6631c2b340338; 437 912,74 ;; 437 912,74 ;;;;;
token not transferred;0xc0b52d171da6f6958737f509a785fb938c0fa120; 430 000,00 ;; 430 000,00 ;;;;;
token not transferred;0x7bdd3b64bcfd9a91f19b297bee92cad975f886f5; 421 538,20 ;; 421 538,20 ;;;;;
token not transferred;0x06ac510387223933f1b623402cdcb4e9c05cdac1; 421 400,00 ;; 421 400,00 ;;;;;
transfer to 249F;0xd2eee9b3e9bd131b349826dbb330ff9bc15d0394; 418 843,33 ;; 418 843,33 ;;;;;
transfer to 249F;0xdb2b0fb691f510d167cc4651b65c01a0485fffd0; 416 868,75 ;; 416 868,75 ;;;;;
token not transferred;0x5e4fe64ac19f111abee76112607200784e2b08ca; 416 763,37 ;; 416 763,37 ;;;;;
token not transferred;0x8dfa7487d6c117690fde6e0e64c75b2acd0d1eab; 415 437,62 ;; 415 437,62 ;;;;;
transfer to 249F;0x8d0a1fb3881a8547653c945591339ec0ecfd4c15; 415 420,75 ;; 415 420,75 ;;;;;
transfer to 249F;0xa470bc6dc98857f11a9ed687f8cd3ef456b27ca4; 413 659,95 ;; 413 659,95 ;;;;;
token not transferred;0x5a0869c8ad2e646272da60a306e48b1d2aab607e; 411 602,02 ;; 411 602,02 ;;;;;
transfer to 249F;0xa1c8b6a405617e2a812acb1f35b0d861dc840952; 408 489,80 ;; 408 489,80 ;;;;;
token not transferred;0xde100dd593755d7c89b1531cb795eeea4f039a58; 408 451,78 ;; 408 451,78 ;;;;;
token not transferred;0x58f343cf49ee937d628af837c5473e85bddadf0c; 408 187,46 ;; 408 187,46 ;;;;;
transfer to 249F;0x1d72171bd2ce0e5d6e89a74b60430ef3c50e9246; 407 795,64 ;; 407 795,64 ;;;;;
transfer to 249F;0x51b7a57743263d2c33e3e4d55ec0100574ee61d8; 406 552,96 ;; 406 552,96 ;;;;;
token not transferred;0xc3fd2a9765343b04f4ef2fddd7f3471e8bdfc809; 402 500,56 ;; 402 500,56 ;;;;;
token not transferred;0x61808430e0974b22b59922648b04d09a0d532b7e; 402 183,10 ;; 402 183,10 ;;;;;
token not transferred;0xf255a9b7b9e5b0feb7d2769cbf216f4195447ef8; 401 206,54 ;; 401 206,54 ;;;;;
token not transferred;0x1219ba82bec7b6de52a0509e0f1075ca08a46a9e; 400 112,78 ;; 400 112,78 ;;;;;
transfer to 249F;0x9a34af49a660fc6bded2046bac2635a73f434387; 400 000,00 ;; 400 000,00 ;;;;;
transfer to 249F;0xe8d2f95f9f91a730fb47ece742b646e6a4bfeb02; 392 108,53 ;; 392 108,53 ;;;;;
transfer to 249F;0x71f2c990b3b992eae54f2f1048b495179eba3675; 389 934,32 ;; 389 934,32 ;;;;;
transfer to 249F;0x0211358b3389843f28bd4080850d23358e9da42b; 389 313,00 ;; 389 313,00 ;;;;;
token not transferred;0xb587bb405bdd61ecd06ed8f1ccd0eb8588019001; 386 519,26 ;; 386 519,26 ;;;;;
transfer to 249F;0x6ca6ebd8cf8f8d45a86e5860fa0f8f9d27056d14; 386 312,00 ;; 386 312,00 ;;;;;
token not transferred;0x7362b7075add23abaa000fbf0a127ffdcb89ed34; 382 891,80 ;; 382 891,80 ;;;;;
transfer to 249F;0x3501322012144da946b313acab28c6e3d0a95cfe; 374 483,56 ;; 374 483,56 ;;;;;
token not transferred;0xd14f0db96466019ff8ee5d49f5bc34a451acf800; 371 789,72 ;; 371 789,72 ;;;;;
transfer to 249F;0xa4e558b4d7f32d16ed5ad1a3baf165da85fad05e; 369 800,00 ;; 369 800,00 ;;;;;
token not transferred;0x2786bd733216420fa72c8b25c20295d237e73fa1; 367 299,98 ;; 367 299,98 ;;;;;
token not transferred;0x49450c3419250a4029dd0ae26db440594c107cfc; 364 514,66 ;; 364 514,66 ;;;;;
token not transferred;0xd9d91be2282ca5043358b3a0f19561585bffd532; 362 887,18 ;; 362 887,18 ;;;;;
token not transferred;0x23438d368b9ba86cbb925f239a0d4752a3e81063; 361 494,12 ;; 361 494,12 ;;;;;
transfer to 249F;0xced148cb1eacacbe35d0d89f956eb2c437a66c6f; 357 088,34 ;; 357 088,34 ;;;;;
token not transferred;0xb6ce8acd0e79754a9d3880049706f6bc8b3c04cb; 355 061,40 ;; 355 061,40 ;;;;;
token not transferred;0xb25da875684845aa5f6d3f40df26cbb9c0e99e66; 353 781,04 ;; 353 781,04 ;;;;;
token not transferred;0x58c5accdbaf2efc60df3b4435e601d82f36d6b08; 346 920,56 ;; 346 920,56 ;;;;;
token not transferred;0xa2e86f019dab0c6751785e645969588869ed0456; 344 264,88 ;; 344 264,88 ;;;;;
token not transferred;0xb1d35bd252fe2ba705ad92310eecb18b41ab9458; 344 000,00 ;; 344 000,00 ;;;;;
transfer to 249F;0xe964458584d0cfb3605364d0c61b250e3bfc85e4; 344 000,00 ;; 344 000,00 ;;;;;
token not transferred;0x82fbeab55e4cf632920baef40a417ce1fb907f0f; 341 041,37 ;; 341 041,37 ;;;;;
token not transferred;0x22e6d805ae34fc7d7d08ea68ba3ab1356cff0a5b; 337 698,90 ;; 337 698,90 ;;;;;
transfer to 249F;0x073580d90ecdbcefde6fc4cebd8c05c7fa0c4b06; 337 371,98 ;; 337 371,98 ;;;;;
transfer to 249F;0x34ce68228ad230ed368945e4b69207f27a14670e; 335 711,63 ;; 335 711,63 ;;;;;
transfer to 249F;0x86904b42f9099a666995dcd7117553b08b5225c1; 335 244,51 ;; 335 244,51 ;;;;;
transfer to 249F;0xedaab18e4bfa34728831dc84d51037280c8e0757; 334 759,61 ;; 334 759,61 ;;;;;
token not transferred;0xa69ba93276e7db9a93a12ff6473b86ddbfc82496; 328 870,14 ;; 328 870,14 ;;;;;
token not transferred;0x1de0f9edb0795e56ffb13e897f816924998d0e4e; 327 046,52 ;; 327 046,52 ;;;;;
token not transferred;0xa8c003c108c691d9664c0ad5775afcdacc360826; 325 009,88 ;; 325 009,88 ;;;;;
token not transferred;0xca0047acf388aef341a9bc59ae896e6bf8a2867a; 324 496,77 ;; 324 496,77 ;;;;;
token not transferred;0xc8a03efdae63a1c57e618929a8d607ff43ff1cb2; 318 118,63 ;; 318 118,63 ;;;;;
token not transferred;0xe99667c1a5d1aec6714c38d44ce15b38fedd7d19; 316 652,86 ;; 316 652,86 ;;;;;
token not transferred;0x2c3b311362ed28de8a7b06befac850db320fd27a; 316 528,16 ;; 316 528,16 ;;;;;
token not transferred;0x2ab29e5a04132db9f2a8a63eb8e0a8842587c871; 316 084,40 ;; 316 084,40 ;;;;;
token not transferred;0x71e1b87ab264f4b2b404a665e91f729b91019433; 314 592,41 ;; 314 592,41 ;;;;;
transfer to 249F;0x942069299eaf1716bf950b0d929f507555e628e7; 314 352,91 ;; 314 352,91 ;;;;;
transfer to 249F;0xba6d1c015b7942b91475d0214a7fd68875108e6f; 310 146,67 ;; 310 146,67 ;;;;;
token not transferred;0x2fa226dd9089213772ce185322eb4b7d259c0b69; 307 612,54 ;; 307 612,54 ;;;;;
transfer to 249F;0x0ea3a8ed5d0f59070466ae0a49af446414effd1e; 305 430,00 ;; 305 430,00 ;;;;;
token not transferred;0xb7b4ec3cb954b932efe6e44e6e826fc74ec8d4fb; 303 249,21 ;; 303 249,21 ;;;;;
token not transferred;0xc4e3840df747d1fd7a216ececf264d231bdf2dfb; 301 000,00 ;; 301 000,00 ;;;;;
token not transferred;0x736205b6b663117cfec17a79e7b1d5cd3d4ef73e; 300 090,12 ;; 300 090,12 ;;;;;
transfer to 249F;0x032904f18ae8907990004a475dd3dd4f895b154d; 299 288,00 ;; 299 288,00 ;;;;;
transfer to 249F;0x61ddaec23cb01a6127cc574ab20bf7389df40b4e; 297 124,48 ;; 297 124,48 ;;;;;
transfer to 249F;0x40e97d4123944b8b3ea84089e17d8d44853a8f93; 295 111,94 ;; 295 111,94 ;;;;;
token not transferred;0x111099d0bc8fb4775e6bbe2408cef2b78aa00ae9; 293 383,84 ;; 293 383,84 ;;;;;
transfer to 249F;0x39fd481ef753b6686030449b72367322d019dd65; 290 250,00 ;; 290 250,00 ;;;;;
token not transferred;0x1277588133b3a3aaa44c28454798307054f9f273; 289 495,87 ;; 289 495,87 ;;;;;
token not transferred;0xac1fc32a4a458761efadfc0a6b11fae60124c937; 285 824,69 ;; 285 824,69 ;;;;;
token not transferred;0x74f6796eb8ca675981660b9a9fd6051d8e8e8a49; 285 679,06 ;; 285 679,06 ;;;;;
transfer to 249F;0x092b272e76cf2541644a04d4bd99ae952003914d; 285 310,54 ;; 285 310,54 ;;;;;
token not transferred;0x31e7804e1b56ac3fb282519c3b07c1d9da335bfb; 285 208,68 ;; 285 208,68 ;;;;;
token not transferred;0x45eb1af191c77c0494d31ff9346ab39f8076849f; 281 985,56 ;; 281 985,56 ;;;;;
transfer to 249F;0x404e520980865e72b06dca3a9a1cba14edc8343a; 281 819,44 ;; 281 819,44 ;;;;;
token not transferred;0x38c9af57f83146f25aad2b7a06fcad6b935171f1; 281 755,78 ;; 281 755,78 ;;;;;
transfer to 249F;0xf864fad8718215a4a1b5538312519ba150053669; 281 367,80 ;; 281 367,80 ;;;;;
token not transferred;0x423af9633fbed90bdde550bba90c121c1dfcfc06; 279 994,38 ;; 279 994,38 ;;;;;
token not transferred;0x3eedaf68011fa171b516e482e7fcfbb92dbb6718; 279 430,80 ;; 279 430,80 ;;;;;
token not transferred;0xfdb4613ec91645f2ccb597baf5b406603cd38286; 275 200,00 ;; 275 200,00 ;;;;;
token not transferred;0x048b8e3d3f0f7f33e976c4b127e5a13bf1fdff4c; 275 049,31 ;; 275 049,31 ;;;;;
transfer to 249F;0xca55e69d755ee1b16eebfeef3e94bd1d93e82a03; 274 522,32 ;; 274 522,32 ;;;;;
token not transferred;0xa20853cf8b7ae9de04f74b16becd3e9458fd77ab; 271 390,12 ;; 271 390,12 ;;;;;
token not transferred;0xcc131bba98834cbe6553a2d8a565f28df463a883; 268 817,94 ;; 268 817,94 ;;;;;
transfer to 249F;0xecd65afe075f9d7bf9ecc71741b939168fbf1f3b; 268 473,60 ;; 268 473,60 ;;;;;
token not transferred;0xfc455d154bf80bec703ab80e8d2721aa642f393f; 268 056,85 ;; 268 056,85 ;;;;;
token not transferred;0xf0837ff84287a6a785c7135c2cd55fe16ba5439e; 267 351,75 ;; 267 351,75 ;;;;;
token not transferred;0xa1f7cdc7f7a16e001c677cc80ae4e6cf4038c36b; 264 035,42 ;; 264 035,42 ;;;;;
token not transferred;0x18a07d581dbb2513c962cc7d1c8161f25007787f; 263 718,95 ;; 263 718,95 ;;;;;
transfer to 249F;0x247927b325e7f795cb6bb629d42d640ebedee01f; 263 626,98 ;; 263 626,98 ;;;;;
token not transferred;0x71d26602f2ab640d676a0640522a196e4316c27b; 262 869,40 ;; 262 869,40 ;;;;;
transfer to 249F;0xfd5770c97b82b190766da8ee8b6e9dfced2f475c; 261 233,60 ;; 261 233,60 ;;;;;
transfer to 249F;0xac285fe5a0351e5f58416d9003f7e01d7085d17b; 260 860,56 ;; 260 860,56 ;;;;;
transfer to 249F;0xbb96fae70e771e1f88df9af490a1459a6e7c7ca3; 259 273,93 ;; 259 273,93 ;;;;;
token not transferred;0xe71415f3366deb31ac190c096fa34fe4293ac802; 258 958,04 ;; 258 958,04 ;;;;;
token not transferred;0x80df2ee422a1f51509e489aae7b5379c148cf3a4; 256 310,96 ;; 256 310,96 ;;;;;
transfer to 249F;0x1769c67d294a6f367d55cd758a61e70b6b6727d6; 256 000,00 ;; 256 000,00 ;;;;;
token not transferred;0xfd07f8b7500b3f442d51b96c2cb78b85db22b593; 255 267,70 ;; 255 267,70 ;;;;;
transfer to 249F;0xca600f48bcc5ca8c5d44c2b7c993be883547b5ea; 249 521,71 ;; 249 521,71 ;;;;;
token not transferred;0xbdb4843064924ceed136a9b848b2cee0b1bf79ce; 248 992,14 ;; 248 992,14 ;;;;;
token not transferred;0x182e4cbbbb9d5585ec921ad9da0afc73c8a88366; 248 761,88 ;; 248 761,88 ;;;;;
token not transferred;0xdd43e288bd42a1ca5bf4e7184e06235f657bbd23; 248 540,00 ;; 248 540,00 ;;;;;
token not transferred;0xf695745477cd737d949a515260a82f779467ba3f; 245 581,10 ;; 245 581,10 ;;;;;
token not transferred;0xa36c81c5d347c803385f3c68b97b56342412320c; 245 545,63 ;; 245 545,63 ;;;;;
transfer to 249F;0x7d8173939747a92b957170f262b66a3e6afa742a; 245 225,65 ;; 245 225,65 ;;;;;
token not transferred;0x7f7ad51af15c4816b33681f1f21f755a63e8eaa9; 244 549,67 ;; 244 549,67 ;;;;;
transfer to 249F;0xa03c138c07b8fe9c2193b6ce1a635459a28ab30c; 241 575,83 ;; 241 575,83 ;;;;;
transfer to 249F;0x1ffb8d5cce79325ec40e0979f9f9a6cafe1e4dd6; 238 300,50 ;; 238 300,50 ;;;;;
transfer to 249F;0x6d3a565f1ecee7a2863345214696701a7615853b; 237 060,72 ;; 237 060,72 ;;;;;
transfer to 249F;0x093ffd4f036fcb07847f90976647dd4f928d745d; 235 385,15 ;; 235 385,15 ;;;;;
token not transferred;0x507685aef05c2e3027da0e87a9dc340664124eb0; 235 332,86 ;; 235 332,86 ;;;;;
transfer to 249F;0x719835d6bd68fe2ca75be83b1bbeff15bcc0755a; 234 607,08 ;; 234 607,08 ;;;;;
